date,description,category,amount,type
26-07-2023,Monthly Salary,Income,94953.0,Fixed
13-04-2023,Food Purchase,Food,-3838.81,Need
10-03-2023,Travel Purchase,Travel,-4141.69,Need
16-07-2023,Investments Purchase,Investments,-10657.08,Need
15-02-2023,Shopping Purchase,Shopping,-7594.49,Want
04-08-2023,Travel Purchase,Travel,-9031.9,Need
11-07-2023,Subscriptions Purchase,Subscriptions,-12991.64,Need
19-04-2023,Bills Purchase,Bills,-10078.23,Need
18-10-2023,Health Purchase,Health,-14229.46,Need
28-09-2023,Food Purchase,Food,-1773.13,Need
11-06-2023,Investments Purchase,Investments,-4406.29,Need
04-01-2023,Investments Purchase,Investments,-5756.71,Need
01-10-2023,Bills Purchase,Bills,-8020.5,Need
12-04-2023,Food Purchase,Food,-14662.32,Need
03-07-2023,Bills Purchase,Bills,-14310.17,Need
24-03-2023,Travel Purchase,Travel,-6904.86,Need
01-04-2023,Shopping Purchase,Shopping,-10074.34,Want
19-01-2023,Bills Purchase,Bills,-2982.21,Need
17-12-2023,Subscriptions Purchase,Subscriptions,-1676.82,Need
06-08-2023,Food Purchase,Food,-2572.22,Need
13-11-2023,Bills Purchase,Bills,-5280.62,Need
25-09-2023,Investments Purchase,Investments,-13549.57,Need
29-01-2023,Food Purchase,Food,-6923.11,Need
07-10-2023,Investments Purchase,Investments,-11575.03,Need
01-07-2023,Shopping Purchase,Shopping,-7404.08,Want
29-01-2023,Bills Purchase,Bills,-13026.98,Need
04-11-2023,Travel Purchase,Travel,-2681.38,Need
29-07-2023,Bills Purchase,Bills,-2221.36,Need
01-06-2023,Bills Purchase,Bills,-3075.86,Need
16-03-2023,Shopping Purchase,Shopping,-13266.24,Want
13-06-2023,Monthly Salary,Income,102711.0,Fixed
30-04-2023,Subscriptions Purchase,Subscriptions,-2199.59,Need
05-07-2023,Bills Purchase,Bills,-1549.65,Need
28-05-2023,Bills Purchase,Bills,-12572.03,Need
22-06-2023,Health Purchase,Health,-6286.96,Need
24-07-2023,Investments Purchase,Investments,-12298.48,Need
01-10-2023,Bills Purchase,Bills,-13253.74,Need
10-07-2023,Travel Purchase,Travel,-6279.41,Need
16-08-2023,Health Purchase,Health,-12876.94,Need
26-04-2023,Food Purchase,Food,-5004.52,Need
19-12-2023,Travel Purchase,Travel,-3669.76,Need
31-12-2023,Food Purchase,Food,-4120.95,Need
01-06-2023,Investments Purchase,Investments,-14406.83,Need
13-08-2023,Investments Purchase,Investments,-13661.03,Need
05-02-2023,Investments Purchase,Investments,-13654.48,Need
14-06-2023,Travel Purchase,Travel,-8232.04,Need
12-05-2023,Investments Purchase,Investments,-4717.79,Need
04-12-2023,Subscriptions Purchase,Subscriptions,-2811.59,Need
14-07-2023,Food Purchase,Food,-9262.01,Need
13-11-2023,Food Purchase,Food,-6880.78,Need
14-07-2023,Health Purchase,Health,-3366.03,Need
03-01-2023,Food Purchase,Food,-10567.89,Need
09-04-2023,Shopping Purchase,Shopping,-10183.34,Want
24-11-2023,Health Purchase,Health,-6542.33,Need
28-12-2023,Health Purchase,Health,-12977.33,Need
26-06-2023,Food Purchase,Food,-552.46,Need
14-09-2023,Investments Purchase,Investments,-518.74,Need
08-06-2023,Shopping Purchase,Shopping,-14685.35,Want
27-03-2023,Investments Purchase,Investments,-12183.98,Need
16-04-2023,Health Purchase,Health,-12846.06,Need
02-08-2023,Monthly Salary,Income,100672.0,Fixed
14-10-2023,Investments Purchase,Investments,-9487.15,Need
20-11-2023,Subscriptions Purchase,Subscriptions,-9286.1,Need
28-05-2023,Health Purchase,Health,-798.96,Need
23-02-2023,Subscriptions Purchase,Subscriptions,-1595.79,Need
17-01-2023,Social Purchase,Social,-6543.21,Want
09-07-2023,Social Purchase,Social,-9582.8,Want
30-12-2023,Food Purchase,Food,-4780.0,Need
21-02-2023,Social Purchase,Social,-12007.48,Want
24-07-2023,Travel Purchase,Travel,-4339.63,Need
18-06-2023,Bills Purchase,Bills,-2394.62,Need
17-08-2023,Shopping Purchase,Shopping,-10572.27,Want
19-07-2023,Investments Purchase,Investments,-14337.81,Need
02-04-2023,Investments Purchase,Investments,-3510.37,Need
26-08-2023,Food Purchase,Food,-13401.57,Need
15-07-2023,Bills Purchase,Bills,-13733.81,Need
03-09-2023,Food Purchase,Food,-9574.85,Need
01-09-2023,Food Purchase,Food,-14716.31,Need
30-09-2023,Health Purchase,Health,-7168.15,Need
08-01-2023,Bills Purchase,Bills,-12045.83,Need
06-02-2023,Health Purchase,Health,-11139.05,Need
19-10-2023,Food Purchase,Food,-4492.61,Need
07-01-2023,Food Purchase,Food,-6502.11,Need
26-03-2023,Bills Purchase,Bills,-13839.92,Need
23-07-2023,Bills Purchase,Bills,-5464.65,Need
28-04-2023,Food Purchase,Food,-4736.26,Need
13-08-2023,Bills Purchase,Bills,-11737.95,Need
28-04-2023,Subscriptions Purchase,Subscriptions,-2198.93,Need
29-03-2023,Health Purchase,Health,-10024.15,Need
06-02-2023,Food Purchase,Food,-3374.48,Need
14-10-2023,Monthly Salary,Income,81379.0,Fixed
26-12-2023,Investments Purchase,Investments,-14419.42,Need
01-10-2023,Bills Purchase,Bills,-10329.18,Need
06-03-2023,Subscriptions Purchase,Subscriptions,-2677.87,Need
14-02-2023,Bills Purchase,Bills,-7934.63,Need
14-07-2023,Bills Purchase,Bills,-13127.65,Need
29-04-2023,Food Purchase,Food,-11528.03,Need
09-11-2023,Bills Purchase,Bills,-11711.03,Need
25-06-2023,Subscriptions Purchase,Subscriptions,-6823.98,Need
07-06-2023,Bills Purchase,Bills,-2111.47,Need
12-09-2023,Food Purchase,Food,-8058.0,Need
07-01-2023,Health Purchase,Health,-13793.79,Need
19-02-2023,Travel Purchase,Travel,-14853.27,Need
18-10-2023,Investments Purchase,Investments,-11997.56,Need
11-02-2023,Shopping Purchase,Shopping,-2840.78,Want
27-03-2023,Travel Purchase,Travel,-5910.18,Need
10-06-2023,Food Purchase,Food,-8972.99,Need
11-01-2023,Health Purchase,Health,-2803.01,Need
06-01-2023,Shopping Purchase,Shopping,-12240.4,Want
01-06-2023,Health Purchase,Health,-7640.43,Need
07-02-2023,Bills Purchase,Bills,-2877.34,Need
16-12-2023,Health Purchase,Health,-5350.75,Need
17-06-2023,Subscriptions Purchase,Subscriptions,-14546.77,Need
12-07-2023,Subscriptions Purchase,Subscriptions,-9348.95,Need
08-10-2023,Bills Purchase,Bills,-10278.56,Need
28-05-2023,Travel Purchase,Travel,-6576.95,Need
27-04-2023,Bills Purchase,Bills,-6391.06,Need
28-01-2023,Health Purchase,Health,-9893.19,Need
25-03-2023,Subscriptions Purchase,Subscriptions,-1862.37,Need
03-01-2023,Food Purchase,Food,-916.37,Need
14-04-2023,Monthly Salary,Income,78634.0,Fixed
03-04-2023,Food Purchase,Food,-1388.44,Need
11-05-2023,Bills Purchase,Bills,-11580.9,Need
18-03-2023,Bills Purchase,Bills,-9831.78,Need
15-09-2023,Investments Purchase,Investments,-14880.26,Need
17-08-2023,Bills Purchase,Bills,-9029.3,Need
24-06-2023,Investments Purchase,Investments,-7433.49,Need
10-11-2023,Bills Purchase,Bills,-7778.45,Need
30-04-2023,Travel Purchase,Travel,-7527.28,Need
21-02-2023,Investments Purchase,Investments,-3424.3,Need
30-03-2023,Bills Purchase,Bills,-11203.21,Need
08-05-2023,Bills Purchase,Bills,-10454.27,Need
27-03-2023,Food Purchase,Food,-10247.66,Need
16-09-2023,Shopping Purchase,Shopping,-12833.23,Want
09-02-2023,Health Purchase,Health,-8105.11,Need
18-12-2023,Travel Purchase,Travel,-6233.74,Need
15-10-2023,Bills Purchase,Bills,-4132.21,Need
17-10-2023,Health Purchase,Health,-3241.79,Need
18-11-2023,Bills Purchase,Bills,-1054.48,Need
01-02-2023,Health Purchase,Health,-13915.52,Need
06-12-2023,Health Purchase,Health,-4389.28,Need
10-12-2023,Health Purchase,Health,-8870.19,Need
01-06-2023,Bills Purchase,Bills,-5785.83,Need
23-03-2023,Health Purchase,Health,-2563.24,Need
06-06-2023,Investments Purchase,Investments,-3372.65,Need
29-01-2023,Shopping Purchase,Shopping,-894.66,Want
29-04-2023,Bills Purchase,Bills,-1635.64,Need
14-07-2023,Bills Purchase,Bills,-14149.76,Need
12-07-2023,Health Purchase,Health,-2724.87,Need
07-02-2023,Bills Purchase,Bills,-3051.16,Need
24-04-2023,Monthly Salary,Income,92515.0,Fixed
14-11-2023,Health Purchase,Health,-14150.49,Need
27-11-2023,Bills Purchase,Bills,-2152.48,Need
12-08-2023,Bills Purchase,Bills,-12738.28,Need
09-07-2023,Investments Purchase,Investments,-8596.06,Need
12-07-2023,Travel Purchase,Travel,-13612.47,Need
15-05-2023,Health Purchase,Health,-5500.65,Need
01-03-2023,Health Purchase,Health,-4030.39,Need
18-01-2023,Health Purchase,Health,-5227.91,Need
22-02-2023,Health Purchase,Health,-4948.79,Need
16-11-2023,Health Purchase,Health,-6912.84,Need
16-08-2023,Investments Purchase,Investments,-9227.89,Need
15-05-2023,Bills Purchase,Bills,-6059.64,Need
10-01-2023,Health Purchase,Health,-11586.22,Need
27-12-2023,Investments Purchase,Investments,-12013.28,Need
14-06-2023,Investments Purchase,Investments,-3910.12,Need
22-12-2023,Investments Purchase,Investments,-13137.15,Need
24-02-2023,Shopping Purchase,Shopping,-6276.45,Want
17-04-2023,Bills Purchase,Bills,-13916.59,Need
21-08-2023,Travel Purchase,Travel,-5408.1,Need
01-11-2023,Bills Purchase,Bills,-787.64,Need
16-10-2023,Bills Purchase,Bills,-2380.66,Need
29-07-2023,Bills Purchase,Bills,-13306.29,Need
03-12-2023,Food Purchase,Food,-756.86,Need
04-03-2023,Travel Purchase,Travel,-3661.98,Need
08-12-2023,Food Purchase,Food,-2050.34,Need
09-08-2023,Subscriptions Purchase,Subscriptions,-13242.09,Need
04-04-2023,Subscriptions Purchase,Subscriptions,-12374.82,Need
20-12-2023,Health Purchase,Health,-3069.94,Need
01-08-2023,Bills Purchase,Bills,-12707.6,Need
03-08-2023,Monthly Salary,Income,95306.0,Fixed
20-11-2023,Bills Purchase,Bills,-4400.21,Need
27-09-2023,Health Purchase,Health,-12808.67,Need
23-03-2023,Travel Purchase,Travel,-11050.35,Need
18-01-2023,Travel Purchase,Travel,-12511.87,Need
09-05-2023,Investments Purchase,Investments,-2362.25,Need
29-05-2023,Food Purchase,Food,-3653.84,Need
14-09-2023,Health Purchase,Health,-6994.21,Need
14-09-2023,Health Purchase,Health,-3173.33,Need
26-05-2023,Bills Purchase,Bills,-5272.22,Need
07-03-2023,Subscriptions Purchase,Subscriptions,-3834.33,Need
01-07-2023,Food Purchase,Food,-1523.3,Need
12-10-2023,Investments Purchase,Investments,-2596.45,Need
01-01-2023,Health Purchase,Health,-11888.38,Need
24-07-2023,Food Purchase,Food,-1694.06,Need
05-08-2023,Bills Purchase,Bills,-7139.54,Need
12-02-2023,Bills Purchase,Bills,-13105.75,Need
15-02-2023,Travel Purchase,Travel,-4831.42,Need
28-02-2023,Bills Purchase,Bills,-4238.32,Need
08-06-2023,Bills Purchase,Bills,-8547.09,Need
25-11-2023,Bills Purchase,Bills,-9438.06,Need
15-06-2023,Bills Purchase,Bills,-12643.98,Need
02-06-2023,Investments Purchase,Investments,-7807.06,Need
15-08-2023,Food Purchase,Food,-4126.58,Need
05-10-2023,Food Purchase,Food,-3664.29,Need
08-03-2023,Bills Purchase,Bills,-5213.77,Need
11-10-2023,Shopping Purchase,Shopping,-13752.03,Want
17-04-2023,Subscriptions Purchase,Subscriptions,-9606.91,Need
06-11-2023,Investments Purchase,Investments,-7404.97,Need
25-03-2023,Food Purchase,Food,-8582.05,Need
23-09-2023,Monthly Salary,Income,104989.0,Fixed
07-06-2023,Bills Purchase,Bills,-9285.43,Need
26-06-2023,Bills Purchase,Bills,-6823.66,Need
